timestamp,flex_thumb,flex_index,flex_middle,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,label,datetime
502417,81,62,100,0,0,0,0,0,0,L,2026-01-07 13:05:55
502927,81,61,100,0,0,0,0,0,0,L,2026-01-07 13:05:55
503428,81,61,100,0,0,0,0,0,0,L,2026-01-07 13:05:56
503929,81,60,100,0,0,0,0,0,0,L,2026-01-07 13:05:56
504430,81,60,100,0,0,0,0,0,0,L,2026-01-07 13:05:57
504959,81,62,100,0,0,0,0,0,0,L,2026-01-07 13:05:57
505461,81,62,100,0,0,0,0,0,0,L,2026-01-07 13:05:58
505978,81,61,100,0,0,0,0,0,0,L,2026-01-07 13:05:58
506499,81,61,100,0,0,0,0,0,0,L,2026-01-07 13:05:59
507000,81,63,100,0,0,0,0,0,0,L,2026-01-07 13:06:00
507517,81,62,100,0,0,0,0,0,0,L,2026-01-07 13:06:00
508026,81,62,100,0,0,0,0,0,0,L,2026-01-07 13:06:01
508548,82,62,100,0,0,0,0,0,0,L,2026-01-07 13:06:01
509056,81,63,100,0,0,0,0,0,0,L,2026-01-07 13:06:02
509577,82,63,100,0,0,0,0,0,0,L,2026-01-07 13:06:02
510077,82,63,100,0,0,0,0,0,0,L,2026-01-07 13:06:03
510577,82,62,100,0,0,0,0,0,0,L,2026-01-07 13:06:03
511089,81,63,100,0,0,0,0,0,0,L,2026-01-07 13:06:04
511591,81,62,100,0,0,0,0,0,0,L,2026-01-07 13:06:04
512119,82,63,100,0,0,0,0,0,0,L,2026-01-07 13:06:05
512619,82,63,100,0,0,0,0,0,0,L,2026-01-07 13:06:05
513121,81,62,100,0,0,0,0,0,0,L,2026-01-07 13:06:06
513647,82,64,100,0,0,0,0,0,0,L,2026-01-07 13:06:06
514167,82,63,100,0,0,0,0,0,0,L,2026-01-07 13:06:07
514678,81,63,100,0,0,0,0,0,0,L,2026-01-07 13:06:07
515188,81,63,100,0,0,0,0,0,0,L,2026-01-07 13:06:08
515698,82,63,100,0,0,0,0,0,0,L,2026-01-07 13:06:08
516252,82,63,100,0,0,0,0,0,0,L,2026-01-07 13:06:09
